col1_1,TIC ID_1,TOI_1,Paper disp,Group Comments,Sector(s),Period [Days],Duration [Hours],Depth [%],Planet Radius [RJ],Star Radius [Râ],TESSmag,Delta TESSmag,col1_2,TIC ID_2,TOI_2,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
729,418987806,1584.01,FP,"CO, Vshape, FSCP, Short-P","17,18",0.88654,1.68,0.09,2.22,4.27,9.27904,7.65,1603,418987806,1584.01,,5,5,5,5,5,5,5,178.4,233.3,317.0,1,2,1,PC,FP,9.27904,0.006,,1,qlp,QLP,00:26:04.66,63:19:09.88,-13.0,0.040999999999999995,-0.308,0.038,2458791.0627599997,0.0027300000000000002,0.88654,1.8999999999999998E-4,1.679,0.037000000000000005,0.945002,0.282085,870.0,259.776,24.9348,7.63992,64431.5,4438.0,32.0,479.659,6.5305,6919.0,178.4,3.36,0.09,4.27,0.17,,,1.5090000000000001,0.265816,"17,18",2019-12-19,2020-05-20,2022-12-14 12:09:24,likely EB
730,420288086,1535.01,PC,"NT, FSCP, FSOP, pCO, LowSNR","17,18",6.534269999999999,3.68,0.38,1.82,2.6,10.4397,6.06,1554,420288086,1535.01,,5,5,5,5,5,5,5,44.8,87.9,317.0,1,1,1,PC,FP,10.4397,0.024,,1,qlp,QLP,00:43:51.05,61:50:08.25,-5.237,0.036000000000000004,0.061,0.039,2458769.58501,0.00238,6.534269999999999,5.8E-4,3.679,0.361,4.100961,0.05338,3770.0,49.1636,20.4061,2.71884,3017.9,2064.0,29.0,694.4910000000001,12.687000000000001,7715.3,362.3,3.96,0.07,2.6,0.23,,,2.37,0.33372399999999997,"17,18",2019-12-05,2019-12-05,2022-12-14 12:09:24,Could be twice the period
732,422656370,2030.01,pFP,"LCMOD, EV, Vshape, Sync",24,1.3254299999999999,1.05,0.20,1.25,2.29,10.8489,6.74,2079,422656370,2030.01,,3,4,4,3,3,4,4,72.0,108.6,127.12,5,1,1,PC,APC,10.8489,0.022000000000000002,,1,qlp,QLP,23:18:41.3,68:17:57.18,28.247,0.045,0.652,0.04,2458767.48916,6.5E-4,1.3254299999999999,1.0E-5,1.047,0.162,2.184526,0.0036630000000000005,2010.0,3.3740699999999997,13.9946,0.8636360000000001,829.084,1494.0,24.0,367.355,3.4215,5778.0,186.2,3.74,0.08,2.29,0.12,,,1.04,0.135897,24,2020-06-19,2020-06-19,2022-12-14 12:09:24,
734,425163745,937.01,FP,"OED, Vshape, CO",5,0.27664,0.72,1.57,2.18,1.78,10.855,4.51,919,425163745,937.01,,5,5,5,5,5,5,5,563.2,594.4,317.0,2,0,1,EB,FP,10.855,0.006,,1,qlp-s05-b01,QLP,03:55:35.24,-02:30:21.41,15.116,0.077,-7.142,0.062,2458438.55668,3.5E-4,0.27664,1.0E-5,0.72,0.012,17.147423999999997,0.814454,15669.3,749.8589999999999,24.4651,5.82969,15418.8,3104.0,121.0,321.78,5.8815,5341.6,269.9,4.09,0.47,1.78,0.17,-0.061,0.026000000000000002,1.033,0.13128099999999998,5,2019-07-24,2021-12-07,2022-12-14 12:09:24,V shaped; likely EB; retired as NEB
735,425220920,985.01,PC,"pTD, FSCP, pSS",7,8.76905,3.5,1.44,1.87,1.59,10.2462,4.61,967,425220920,985.01,,5,5,5,5,5,5,5,104.3,182.5,317.0,0,4,5,PC,FP,10.2462,0.006,,1,qlp,QLP,07:26:34.56,07:00:58.79,15.61,0.08199999999999999,-6.35,0.069,2458494.52201,0.0015199999999999999,8.76905,0.00107,3.5039999999999996,0.217,15.705301,0.880182,14361.0,810.3489999999999,21.0089,5.47454,538.251,1341.0,43.0,260.64099999999996,3.3555,5906.8,319.0,4.22,0.04,1.59,0.17,0.0954963,0.0126866,1.1079999999999999,0.141922,7,2019-07-24,2019-07-24,2022-12-14 12:09:24,period might be twice
739,427279997,2034.01,FP,"LowSNR, FSCP, NT, CO",24,2.89453,3.33,0.06,0.55,2.68,10.5682,8.15,2083,427279997,2034.01,,5,5,5,5,5,5,5,5.0,30.1,32.02,1,1,4,PC,FP,10.5682,0.013000000000000001,,1,qlp,QLP,23:25:31.38,54:36:04.25,-1.535,0.075,-1.911,0.075,2458768.72753,0.00722,2.89453,1.8999999999999998E-4,3.327,0.746,0.5973189999999999,0.002523,550.0,2.32422,6.20845,0.56928,9411.16,2743.0,9.0,909.5110000000001,44.8145,9714.0,228.9,3.98,0.08,2.68,0.15,,,2.48,0.340801,24,2020-06-19,2020-06-19,2022-12-14 12:09:24,crowded field; 2 stars in pixel; minor depth-aperture correlation
744,430528566,1393.01,pFP,"FSCP, FSOP, OED, Vshape, pBEER","16,17",0.55909,0.96,0.10,0.0,0.0,9.517000000000001,7.51,1403,430528566,1393.01,,3,5,5,3,4,4,4,69.9,59.9,317.0,1,1,10,PC,PC,10.1993,0.006,,1,spoc-s56-b0A,QLP,22:12:41.1,52:54:03.19,2.0780000000000003,0.05,-17.708,0.049,2459825.646601,6.620002E-4,0.559126176768696,2.5800482000000002E-5,0.9699625906110809,0.15570164,2.888195,0.131123,2656.591014832,120.76125,7.288324827812869,1.3716111,13771.4554101685,2762.89709408365,17.444445,248.79,2.1445,,,,,1.35265004634857,,,,1.338,,"16,17,56",2019-10-30,2022-12-07,2022-12-16 12:08:26,significant odd-even; centroid offset towards brighter stars in pixel
746,431148743,1495.01,FP,"CO, FSCP, LowSNR, NT","16,17",2.6286400000000003,2.89,0.07,0.0,0.0,8.706101,7.9,1514,431148743,1495.01,,5,5,5,5,5,5,5,,,6.42,1,0,0,EB,FP,8.706101,0.008,,1,qlp-s57-ffi,QLP,22:19:55.51,53:39:44.99,-6.492000000000001,0.126,-2.622,0.121,2459879.808473,0.0016243,2.6277641,1.39E-5,2.997,0.9470000000000001,0.532141,1.211826,490.0,1115.51,,,1344.6,1687.0,27.0,1610.79,205.365,3294.0,11.9,,,,,,,,,"16,17,56,57",2019-12-05,2022-12-07,2022-12-16 12:08:26,Gaia parameters suggest star is a giant; transiting object likely too large; TFOP FP/NEB
750,434718964,1512.01,FP,"CO, FSCP","17,18",1.59748,2.74,0.06,0.0,0.0,10.262,8.15,1531,434718964,1512.01,,3,4,3,3,3,4,4,,,7.08,0,0,2,PC,PC,10.262,1.0,,1,qlp,QLP,23:01:57.14,64:04:02.41,,,,,2458765.7933099996,0.00428,1.59748,2.3999999999999998E-4,2.7430000000000003,0.228,0.5973189999999999,0.040310000000000006,550.0,37.1263,,,,,20.0,,,,,,,,,,,,,"17,18",2019-12-05,2020-05-20,2022-12-14 12:09:24,No stellar info; could be evolved or a small star; if evolved then likely EB
755,444415148,1585.01,pFP,"pCO, FSOP, FSCP, LowSNR, Vshape, Short-P","17,18",1.8364099999999999,2.22,0.05,0.95,5.03,8.9676,8.32,1604,444415148,1585.01,,5,5,5,5,5,5,5,,,79.67,0,1,5,PC,FP,8.9676,0.012,,1,qlp,QLP,00:25:14.14,62:32:35.21,-4.209,0.044000000000000004,-3.54,0.04,2458764.8746,0.0042,1.8364099999999999,3.2E-4,2.222,0.256,0.510416,7.469999999999999E-4,470.0,0.687592,10.6176,,9124.8,2722.0,11.0,670.885,14.034,9542.0,123.0,,,5.03,,,,,,"17,18",2019-12-19,2020-05-20,2022-12-14 12:09:24,
