,col1,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
554,796,125405602,821.01,,5,5,5,5,5,5,5,1.9,66.3,7.47,8,1,6,PC,0,11.1825,0.006999999999999999,,1,spoc,SPOC,13:58:27.8,-23:16:39.26,242.852,0.08,-252.531,0.07200000000000001,1606.784642000217,0.0029010000000000004,13.823303,0.004072999999999999,0.05688404166666666,0.266457,2.779274,0.430504,2556.532346,396.43063,2.806009,0.578105,4.54700531713439,372.43553815474405,7.192833,39.5907,0.0991,3669.0,72.0,4.7889599999999986,0.361894,0.477,0.07400000000000001,,,0.444969,0.0203638,11,2019-06-17,2019-06-17,2022-12-14 12:09:24,low SNR (7.3)
555,797,127530399,822.01,,5,5,5,5,5,5,5,48.8,199.5,84.2,5,1,1,KP,1,11.1116,0.006,,1,qlp-s38-tois,UNKNOWN,14:30:26.21,-46:09:34.26,12.561,0.07400000000000001,-73.208,0.066,2359.008313000202,0.000321,7.133518,5.700000000000001e-06,0.12525,0.05,19.953489,0.00151,18210.0,1.39118,10.9689,0.795767,50.841,743.0,155.0,122.91,0.565,4775.0,,4.60305,,0.79,0.06,,,0.76,0.0892047,"11,38",2019-06-17,2022-03-30,2022-12-14 12:09:24,WASP-132b
556,798,127530399,822.02,,2,5,5,2,4,4,4,8.4,56.1,6.06,5,1,1,PC,1,11.1116,0.006,,2,spoc,SPOC,14:30:26.21,-46:09:34.26,12.561,0.07400000000000001,-73.208,0.066,1597.5756729999557,0.0015353507,1.01153358850429,9.7638e-06,0.06750605327860999,0.25378376,0.695842,0.080192,640.689278817189,73.85661999999998,2.33320326664293,0.4378438,871.7333843344452,1385.8482224881,8.900014,122.91,0.565,4775.0,,4.60305,,0.789876997470856,0.0568267,,,0.76,0.0892047,"11,38",2021-10-28,2021-10-27,2022-12-14 12:09:24,second candidate around WASP-132
561,804,271168962,828.01,,5,5,5,5,5,5,5,107.1,130.5,317.0,0,1,1,KP,1,9.47199,0.006,,1,spoc,SPOC,14:00:46.46,-30:35:00.99,10.294,0.129,-9.852,0.126,1601.5796790001914,0.000516,5.322154,0.0002,0.16198308333333333,0.03913,7.144185,0.066195,6558.436228000001,60.966423,13.376846,0.102917,748.212880391839,1333.90851423725,114.223114,200.075,2.625,6030.0,,4.09435,,1.53,,-0.25,0.09,1.01,0.127613,11,2019-06-17,2019-06-17,2022-12-14 12:09:24,WASP-131b
572,816,466840711,839.01,,5,5,5,5,5,5,5,97.1,230.9,317.0,0,0,0,KP,1,14.1491,0.014,,1,spoc-s01-s39-b0A-KP,SPOC,11:07:55.17,-61:08:46.5,-4.522,0.039,2.488,0.034,1571.5516420002095,0.0043260483,2.48558063537043,2.4902827e-05,0.12506817555969874,0.52410424,21.525595000000006,2.661547,19630.5671979095,2448.3728,36.5091253703789,163.50601,4135.36422865922,2045.25842938821,8.80846,1627.63,76.74,6933.0,,4.25089,,1.59943997859955,,,,1.79,,"10,11,37",2019-06-17,2022-03-30,2022-12-14 12:09:24,OGLE2-TR-L9b
591,839,309254930,862.01,,3,4,4,3,3,4,4,130.2,156.5,317.0,4,0,1,PC,1,8.9904,0.006999999999999999,,1,spoc-s01-s39-b0A-PC,SPOC,08:17:12.01,-65:39:25.49,-13.6,1.7,20.1,1.7,2333.98562700022,0.00054061966,3.31021357732513,4.4003623e-06,0.1122849301092471,0.015957378,5.528018,0.043065,5078.5527569471205,39.663754,,,528.706527509873,1222.99144092116,122.646454,,,,,,,,,,,,,"1,5,8,9,10,11,28,31,32,35,36,37,38",2019-07-12,2022-03-22,2022-12-14 12:09:24,visual binary; stellar companion identified by Ziegler with a separation of 0.9341''; no stellar radius; Rp/Rs ~ 0.06; possible giant host
593,841,231728511,864.01,,2,4,4,2,3,4,4,6.3,13.5,0.99,9,0,3,PC,1,11.4966,0.006999999999999999,,1,spoc-s01-s39-b0A-PC,SPOC,05:25:46.41,-51:21:25.31,-123.361,0.056,5.104,0.06,1411.1530780000612,0.0004863466,0.520668715269019,1.0701773e-05,0.023784004175497666,0.11516695,0.680574,0.072463,626.635513640334,66.73877,1.00474380108532,0.78484046,241.891654288849,1005.83089383074,14.267641,38.0915,0.0463,3460.0,,4.438,,0.39860999584198,0.0120441,,,0.38991,0.0203907,"4,5,6,27,31,32,33,37",2019-07-12,2022-03-22,2022-12-14 12:09:24,
596,845,271596418,868.01,,5,5,5,5,5,5,5,3.5,27.3,4.13,3,1,1,PC,0,10.7109,0.006,,1,spoc,SPOC,07:14:16.32,-74:58:13.9,3.562,0.032,59.957,0.04,1325.7487710001878,0.00151,0.556109,1.7e-05,0.04569616666666667,0.221493,0.187697,0.025124,172.860189,23.13988,1.609049,2.070679,8967.452528803771,2481.9156705620003,7.987135,230.697,1.043,5670.45,40.2845,4.1664400000000015,0.11091199999999997,1.18329,0.158197,-0.0318574,0.0457846,1.01,0.12628499999999998,"1,2,3,4,5,6",2019-07-12,2019-07-12,2022-12-14 12:09:24,probably NEB; V-shaped transits and ultra short period; needs SG1 to confirm if on target or neighbor; crowded field; slight centroid offset in difference images
600,849,220459826,872.01,,2,4,4,2,3,4,4,5.2,40.4,7.8,12,2,3,PC,1,11.8348,0.006,,1,qlp,UNKNOWN,04:59:28.36,-55:55:44.62,19.247,0.042,33.917,0.048,2385.9252130002715,0.0012432,2.2395609,5.400000000000002e-06,0.04158333333333333,0.087,1.205837,0.001474,1110.0,1.35734,2.71834,0.210489,80.15100000000002,833.0,25.0,179.25400000000005,0.6920000000000001,4872.54,125.0,4.68951,0.2,0.76,0.05,0.209392,0.1,0.79,0.0945501,"2,3,4,5,6,9,10,12,13,27,29,30,31,32,33,36,37",2019-07-12,2021-11-10,2022-12-14 12:09:24,SG1 neighbour check does not detect NEB
601,850,220459826,872.02,,1,4,1,2,3,4,4,2.3,26.5,6.36,12,2,3,PC,1,11.8348,0.006,,2,spoc-s01-s39-b0A-PC,SPOC,04:59:28.36,-55:55:44.62,19.247,0.042,33.917,0.048,1415.2991110002622,0.0008853212,4.9727600712239415,1.2578861e-05,0.02841237640725504,0.255837,1.100134,0.130142,1012.74774185977,119.85806,2.3994417777444,4.2811537,103.87926969062599,814.239133754843,8.581863,179.25400000000005,0.6920000000000001,4872.54,125.0,4.68951,0.2,0.7563599944114691,0.0519875,0.209392,0.1,0.79,0.0945501,"4,5,6,9,10,12,13,27,29,30,31,32,33,36,37,39",2021-07-08,2022-03-21,2022-12-14 12:09:24,candidate 2 in potential multi-planet system
604,853,14165625,875.01,,1,4,1,1,3,4,4,1.6,26.7,6.31,8,2,3,PC,1,11.3877,0.006,,1,spoc,SPOC,05:12:08.93,-37:42:30.53,21.18,0.037000000000000005,46.527,0.049,1442.0249459999613,0.0057810000000000005,11.020153,0.002316,0.151605625,0.756925,1.1698879999999998,0.159754,1076.9267539999996,147.12764,2.343228,2.098464,23.8243065135594,563.475213182611,7.154832000000002,106.12,0.2475,4407.0,174.0,4.5629300000000015,0.240923,0.7194659999999999,0.07535399999999999,,,0.67,0.0789942,"5,6",2019-07-12,2019-07-12,2022-12-14 12:09:24,
609,858,34077285,880.01,,3,4,4,4,4,3,4,25.0,169.6,22.35,6,19,8,PC,1,9.2563,0.006,,1,qlp,UNKNOWN,06:16:39.47,-13:59:14.41,0.962,0.056,23.237,0.056,2224.830978000071,0.0005187,6.3872524,8.2e-06,0.10866666666666668,0.24,3.817638,0.001073,3510.0,0.987947,5.0445,0.331905,73.9967,817.0,70.0,60.6679,0.11205,4935.0,122.3,4.52,0.09,0.82,0.05,,,0.81,0.0991949,"6,33",2019-07-12,2021-02-19,2022-12-14 12:09:24,Need SG1 to Check 34077287 (R = 2.5 Rsun); Period might be twice
