col1_1,TIC ID_1,TOI_1,Paper disp,Group Comments,Sector(s),Period [Days],Duration [Hours],Depth [%],Planet Radius [RJ],Star Radius [Râ],TESSmag,Delta TESSmag,col1_2,TIC ID_2,TOI_2,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
203,363914762,812.01,1,"FSOP,FSCP","5,6,7",13.865310000000001,6.44,0.76,1.26,1.57,10.9582,5.3,787,363914762,812.01,,3,4,4,3,3,4,4,23.7,37.9,317.0,6,10,3,PC,PC,10.9582,0.006,,1,qlp,UNKNOWN,05:56:56.56,-49:00:25.02,1.318,0.040999999999999995,-2.148,0.042,2459249.5877900003,4.867E-4,13.866591199999998,1.4000000000000001E-5,6.4910000000000005,0.063,8.644208,1.76E-4,7930.0,0.162,14.3875,0.604743,271.767,1131.0,86.0,426.024,3.8905,6707.0,133.4,4.2,0.09,1.57,0.07,,,1.42,0.24419200000000002,"5,6,7,32,33,34",2019-06-21,2021-03-24,2022-12-14 12:09:24,could be on 363914760
204,364074068,1756.01,1,"UC, LowSNR, FSOP, HPMS","17,18,19",2.7835099999999997,1.81,0.11,0.19,0.56,12.0948,7.42,1786,364074068,1756.01,,2,4,4,2,4,4,4,2.8,31.6,3.81,4,2,4,PC,PC,12.0948,0.006999999999999999,,1,spoc-s14-s41-b0A-PC,SPOC,20:25:18.91,77:38:11.08,-12.577,0.027999999999999997,52.096000000000004,0.025,2458764.850815,0.0016560858,2.7830093184749902,2.5175785E-5,1.6484492256841299,0.74865824,1.0713409999999999,0.122504,986.2546677571471,112.82364,1.7758625024135601,2.6316028,55.582430974861495,696.392578071855,9.498127,86.7159,0.11135,3756.0,157.0,4.68309,0.00975251,0.562606990337372,0.0165054,,,0.556454,0.020154599999999998,"17,18,19,24,40",2020-02-27,2022-03-28,2022-12-14 12:09:24,v-shaped; potential L1 candidate
205,364186197,1408.01,1,Vshape,"16,17,18,19",4.42459,1.39,0.24,0.78,1.49,8.823739999999999,6.57,1419,364186197,1408.01,,3,4,3,3,4,4,4,32.6,146.3,39.9,18,14,2,PC,PC,8.823739999999999,0.006,,1,qlp-s57-ffi,SPOC/QLP,20:54:02.65,72:34:50.32,11.808,0.045,28.759,0.045,2459873.587612,0.0015300999999999997,4.4247298,2.8300000000000003E-5,1.176,0.18,0.9026219999999999,0.354069,831.0,326.056,7.09139,0.822083,92.1235,863.0,47.0,139.484,0.4175,6594.0,709.2,4.23,0.16,1.49,0.11,,,1.375,0.406981,"16,17,18,19,24,25,52,57",2019-11-06,2022-12-13,2022-12-16 12:08:26,period drift between Y2 and Y4
206,364395234,1232.01,1,"FSCP, circumbinary (?)","9,10,11,13",14.259058999999999,4.51,0.88,1.08,1.21,11.7835,5.14,1224,364395234,1232.01,TIC 364395234.01,3,4,4,3,3,4,4,13.7,71.1,81.0,5,0,1,PC,PC,11.7835,0.006,,1,qlp,SPOC/QLP,07:46:00.34,-61:52:47.26,-2.334,0.047,26.14,0.046,2459356.538461,9.773E-4,14.2545346,1.83E-5,4.974,0.174,7.9549449999999995,0.00172,7300.0,1.5841,10.759,0.548982,219.312,1072.0,43.0,328.60400000000004,2.3665,5739.0,189.0,4.28235,0.517461,1.1,0.05,,,1.05,0.13300499999999998,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38",2019-08-26,2021-11-10,2022-12-14 12:09:24,
208,365673804,1735.01,1,"Long-P, FSCP, FSOP","15,16,17,18",10.385193,3.22,0.03,0.21,1.26,8.3412,8.68,1762,365673804,1735.01,,1,4,1,1,4,4,4,3.1,46.7,5.75,2,7,6,PC,PC,8.3412,0.006,,1,qlp-s57-ffi,SPOC,20:53:21.4,64:13:45,41.989,0.06,52.687,0.048,2459876.653715,0.0031173999999999998,10.3857745,4.5799999999999995E-5,3.048,0.48200000000000004,0.358352,0.026035000000000003,330.0,23.9786,2.2625900000000003,0.139062,119.52600000000001,921.0,13.0,99.4495,0.25155,6439.0,119.79799999999999,4.35142,0.084906,1.26,0.05,,,1.3,0.198959,"15,16,17,18,24,56,57",2020-02-27,2022-12-13,2022-12-16 12:08:26,possible secondary; crowded field; scattered light
209,365690646,524.01,1,"UC, FSOP",6,12.983175,1.53,0.12,0.53,1.68,10.094,7.32,463,365690646,524.01,,5,5,5,5,5,5,5,5.4,40.3,26.9,6,1,6,PC,FA,10.094,0.006,,1,spoc,SPOC,05:26:10.38,06:54:44.31,-7.797000000000001,0.087,-9.559,0.07,2458471.143375,0.002412,12.983175,0.0033060000000000003,1.527578,0.761684,1.283009,0.175077,1180.9969039999999,161.23893999999999,5.933251,6.2888209999999996,397.468687367061,1138.79481132182,7.579505999999999,293.27,3.5595,6962.64,13.5697,4.1471599999999995,0.016843,1.67983,0.066178,-0.187102,0.0106535,1.511,0.262355,6,2019-03-28,2019-03-28,2022-12-14 12:09:24,Potentially instrument noise
210,365733349,1288.01,1,"FSCP, FSOP","15,16,17,18",2.700062,2.38,0.25,0.42,0.92,9.931189999999999,6.49,1293,365733349,1288.01,,4,4,4,4,4,4,4,26.2,137.3,22.49,10,29,18,CP,PC,9.931189999999999,0.006,,1,qlp-s56-ffi,SPOC,20:52:40.09,65:36:31.62,43.253,0.057,-68.61399999999999,0.055999999999999994,2459851.686676,0.002232,2.6998316000000004,4.8E-6,2.125,0.065,2.336846,0.090241,2150.0,83.1115,5.02677,0.275941,603.304,1380.0,73.0,114.865,0.3215,6180.0,362.01,4.57956,0.106778,0.92,0.05,,,1.181,0.199742,"15,16,17,18,24,56,57",2019-10-17,2022-12-13,2022-12-16 12:08:26,TOI-1288 b
211,367739494,2080.01,1,"Long-P, FSOP, SSys, LowSNR, LCMOD, TFP","14,15,19,20,21",63.589151,4.04,0.16,0.26,0.72,11.4547,7.02,2131,367739494,2080.01,,2,4,2,2,3,4,4,0.3,20.7,9.65,3,3,3,PC,PC,11.4547,0.006,,1,spoc-s14-s41-b0A-PC,SPOC,16:41:31.92,80:02:45.17,-18.769000000000002,0.036000000000000004,64.767,0.05,2458689.5175220002,0.0049501043,63.589687517753894,0.0015346569,4.03148612315383,0.49405119999999997,1.943711,0.166718,1788.62224801218,153.54074,3.0663295323998,1.0793055,3.15020025330794,339.785068307531,11.434708,141.436,0.449,4868.0,119.71600000000001,4.61964,0.0887982,0.722519993782043,0.046196,,,0.7929999999999999,0.09596510000000001,"14,15,19,20,21,25,26,40,41",2020-07-15,2022-03-28,2022-12-14 12:09:24,The period could be 2 times (127 d) or 3 times (190 days) as much; even transits more convincing than odd. Interesting target potentially in the habitable zone.
212,367753709,1757.01,1,"LowSNR, pAT, FSCP","14,15,18,19",2.1256169999999996,1.53,0.06,0.19,0.71,11.2906,8.05,1787,367753709,1757.01,,2,4,2,2,3,4,4,4.1,37.5,4.36,2,3,2,PC,PC,11.2906,0.006,,1,qlp-s48-tois,SPOC,17:01:36.17,79:04:01.65,-52.333,0.048,39.466,0.063,2459633.261116,0.0025281999999999995,2.1256936,8.900000000000001E-6,1.1840000000000002,0.419,0.705958,0.00328,650.0,3.0213400000000004,1.93092,0.21311999999999998,163.72899999999998,996.0,15.0,104.346,0.27399999999999997,4428.0,128.048,4.57977,0.10068300000000001,0.71,0.06,,,0.693,0.08166280000000001,"14,15,18,19,20,21,22,24,25,26,40,41,47,48",2020-02-27,2022-06-29,2022-12-14 12:09:24,potential L1 candidate; possible multi
213,368435330,1797.01,1,"pAT, FSCP",22,3.645428,2.31,0.09,0.29,1.05,8.6259,7.63,1830,368435330,1797.01,TIC 368435330.01,1,5,5,1,4,4,4,11.7,107.7,9.25,2,28,7,PC,CP,8.6259,0.006,,1,qlp-s48-tois,SPOC/QLP,10:51:06.41,25:38:27.83,-92.839,0.09,-23.217,0.109,2459631.901476,0.0013533,3.6451549,1.4000000000000001E-5,2.055,0.163,0.8472049999999999,6.83E-4,780.0,0.6286930000000001,2.99324,0.165456,283.719,1143.0,25.0,82.3432,0.3914,5922.0,120.4,4.43,0.08,1.05,0.05,,,1.08,0.141807,"22,48",2020-04-15,2022-07-12,2022-12-14 12:09:24,active star; potentially multi; 2 stars in pixel
214,369336146,356.01,1,"FSOP,FSCP, pVshape, FSOP",2,5.7701400000000005,3.78,0.38,0.88,1.6,13.0524,6.06,283,369336146,356.01,,3,4,3,3,3,4,4,9.5,30.0,77.71,1,0,1,PC,PC,13.0524,0.006,,1,qlp,QLP,00:24:16.81,-37:13:19.32,19.980999999999998,0.036000000000000004,8.935,0.026000000000000002,2458358.03764,0.00596,5.76946,5.0E-5,3.5660000000000003,0.685,4.166353,0.009604000000000001,3830.0,8.8459,10.469000000000001,,269.63599999999997,1128.0,9.0,835.557,18.0745,5499.0,122.0,4.01,,1.6,,,,0.96,,"2,29",2018-12-20,2020-11-17,2022-12-14 12:09:24,Odd-even. TOI 356. TFOP investigation in progress.
215,369457671,168.01,1,"LCMOD,  NT, UC, FSCP, FSOP, LowSNR",1,2.31257,1.46,0.22,0.3,0.65,11.5147,6.62,70,369457671,168.01,,1,4,4,1,3,3,4,10.3,68.3,11.46,16,2,3,PC,PC,11.5147,0.006,,1,qlp-s27-ffi,QLP,20:46:34.46,-37:54:15.83,14.800999999999998,0.076,-11.655,0.048,2458326.4928,0.00197,2.31446,1.0E-5,1.347,0.36700000000000005,1.2927950000000001,0.004951,1190.0,4.56033,3.40668,0.294554,176.692,1015.0,10.0,130.977,0.8125,4801.5,126.2,,,0.73,0.05,,,0.74,0.0916005,"1,27",2018-09-05,2021-12-07,2022-12-14 12:09:24,
216,369960846,1077.01,1,"FSCP, pVshape, pTD, Short-P, UC",13,1.606295,1.97,1.81,1.09,0.91,13.460999999999999,4.35,1061,369960846,1077.01,,3,4,3,3,1,4,4,49.9,97.2,107.05,6,0,0,PC,PC,13.460999999999999,0.006,,1,spoc-s01-s39-b0A-PC,UNKNOWN,11:35:14.59,-88:05:46.37,-22.788,0.032,9.977,0.031,2459362.467634,7.954919E-4,1.60625655456579,1.9162374E-6,1.9759220394760701,0.066029556,18.325158,0.309602,16736.4572413363,285.1134,12.631176347774598,0.3829744,844.2790162842849,1374.80546054623,44.44332,463.68300000000005,3.3225,5192.0,182.0,4.4617,2.00368,0.984326004981995,,,,0.82,,"13,27,39",2019-08-16,2022-03-22,2022-12-14 12:09:24,
217,370133522,1078.01,1,"CP, FSOP, FSCP, pVshape, Short-P",13,0.518224,0.72,0.08,0.1,0.38,10.1165,7.68,1062,370133522,1078.01,,1,5,5,1,4,4,4,15.6,24.9,1.55,18,1,11,CP,CP,10.1165,0.006999999999999999,,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,20:27:42.88,-56:27:44.23,424.414,0.073,-1230.62,0.073,2458654.105455,3.875457E-4,0.518238461855618,4.560845400000001E-6,0.7499958820357041,0.17882879,0.8659610000000001,0.051347000000000004,797.261856667276,47.291542,1.14038331837198,0.71007156,255.14320664456002,1019.3322198022901,18.154455,20.373,0.0192,3325.0,102.0,4.88693,0.098941,0.3909890055656429,0.0117402,,,0.381272,0.0203251,"13,27",2019-08-16,2021-12-08,2022-12-14 12:09:24,GJ 1252 b
218,371188886,2000.01,1,"FSOP,FSCP",10,9.12758,3.46,0.43,0.71,1.18,10.3579,5.93,2045,371188886,2000.01,,3,4,4,3,3,4,4,19.3,94.8,49.26,13,12,3,PC,PC,10.3579,0.006,,1,qlp,SPOC,09:45:35.3,-66:41:11.87,-73.32300000000001,0.045,12.578,0.049,2459356.496585,5.693E-4,9.1270513,1.0E-5,3.457,0.068,4.940466000000001,4.4E-4,4540.0,0.405694,7.994269999999999,0.41301099999999996,86.7364,850.0,107.0,175.713,0.757,5400.0,283.3,4.43,0.31,1.18,0.06,,,0.98,0.131459,"9,10,11,36,37,38",2020-06-17,2021-08-12,2022-12-14 12:09:24,check nearby stars
219,371234684,1731.01,1,"HAT-P-9 b, FSOP, FSCP, pVshape, pTD",20,3.923003,3.3,1.28,1.35,1.3,11.7946,4.73,1758,371234684,1731.01,,5,5,5,5,5,5,5,55.6,71.7,317.0,0,0,0,KP,KP,11.7946,0.006999999999999999,,1,qlp-s47-tois,SPOC,07:20:40.44,37:08:26.14,-9.63,0.071,-13.043,0.064,2459603.86508,5.119E-4,3.9228042000000003,4.2999999999999995E-6,3.205,0.09699999999999999,15.274679,0.001449,13970.0,1.33437,15.8493,0.8735360000000001,583.697,1369.0,103.0,455.20300000000003,8.8015,6193.0,137.44799999999998,4.2858,0.0913953,1.3,0.07,0.08,0.1,1.19,0.178206,"20,47",2020-02-19,2022-06-28,2022-12-14 12:09:24,HAT-P-9 b
220,371443216,1924.01,1,"KP, FSOP, FSCP, pVshape, pTD","10,11",2.82421,3.86,0.83,0.0,0.0,8.0552,5.2,1969,371443216,1924.01,TIC 371443216.01,5,5,5,5,5,5,5,233.3,378.8,317.0,0,4,0,KP,KP,8.0552,0.006,,1,qlp-s38-tois,QLP,09:50:19.22,-66:06:50.13,6.051,0.055,-15.398,0.051,2459358.688506,7.209999999999999E-5,2.8240691000000004,5.0E-7,3.8080000000000003,0.013000000000000001,9.782996,1.4000000000000001E-5,8970.0,0.0125358,17.7861,0.566327,4913.69,2332.0,591.0,170.696,0.9329999999999999,8004.2,205.1,4.2,0.32,1.84,0.06,,,2.0,0.30783499999999997,"10,11,36,38",2020-05-29,2022-10-04,2022-12-14 12:09:24,MASCARA-4 b
222,372757221,1187.01,1,"LowSNR, NT, UC, FSOP, FSCP,LCMOD, Short-P",14,2.5935200000000003,0.94,0.1,0.45,1.4,9.9002,7.48,1176,372757221,1187.01,,3,4,3,3,4,4,4,11.7,67.4,17.76,3,3,4,PC,PC,9.9002,0.006,,1,qlp-s47-tois,QLP,10:51:34.36,81:19:19.83,-2.083,0.19699999999999998,-9.042,0.166,2459604.464822,0.0011598,2.5941836,5.2E-6,0.879,0.22399999999999998,0.771146,0.004189,710.0,3.85839,4.400519999999999,0.36848400000000003,177.347,1016.0,19.0,221.071,4.997,6389.0,124.4,4.26,0.09,1.4,0.07,,,1.28,0.196602,"14,20,21,26,40,41,47",2019-08-27,2022-06-28,2022-12-14 12:09:24,V-shaped; variable host; a second star ~0.17'' south of the brighter target and ~2 mag fainter in K
