,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
352,371,93594834,https://exofop.ipac.caltech.edu/tess/target.php?id=93594834,7,1491.8680000002496,1.33476,0.12166666666666666,540.0,0.05,0.39,1.96,10.3138,8.17,0,"LOWSNR, pSS, FSCP"
353,372,93963408,https://exofop.ipac.caltech.edu/tess/target.php?id=93963408,7,1493.1150000002235,2.40057,0.12583333333333332,620.0,0.06,0.47,1.88,10.0267,8.02,0,"CO, sync, Vshape"
355,375,96097215,https://exofop.ipac.caltech.edu/tess/target.php?id=96097215,8,1518.941000000108,1.60245,0.012916666666666667,890.0,0.09,0.42,0.98,10.299000000000001,7.63,1,
356,376,96246348,https://exofop.ipac.caltech.edu/tess/target.php?id=96246348,"6,7",1469.029999999795,1.4094,0.03666666666666667,2840.0,0.28,0.0,0.0,7.537999999999999,6.37,0,sync
357,378,97158538,https://exofop.ipac.caltech.edu/tess/target.php?id=97158538,7,1492.698000000324,2.59565,0.02291666666666667,620.0,0.06,0.68,2.24,8.783341,8.02,0,sync
359,380,97700520,https://exofop.ipac.caltech.edu/tess/target.php?id=97700520,7,1494.3680000002496,5.4298,0.1575,15610.0,1.56,0.0,0.0,7.6095,4.52,1,
360,381,98283926,https://exofop.ipac.caltech.edu/tess/target.php?id=98283926,7,1492.2650000001304,2.29183,0.13041666666666665,11090.0,1.11,1.2,1.27,13.1472,4.89,0,"pSS, FSCP, sync"
361,382,98545929,https://exofop.ipac.caltech.edu/tess/target.php?id=98545929,7,1492.3270000000484,1.88851,0.14666666666666667,4990.0,0.5,1.31,2.12,12.4539,5.75,1,"HATS-70 b, short-P, FSCP, run-2min, CO"
364,385,99834717,https://exofop.ipac.caltech.edu/tess/target.php?id=99834717,21,1871.7239999999292,1.706307,0.06708333333333334,12242.0,1.22,0.95,0.9,12.212,4.78,1,
365,386,99869022,https://exofop.ipac.caltech.edu/tess/target.php?id=99869022,14,1686.251000000164,3.6716599999999997,0.09000000000000001,4340.0,0.43,0.93,1.54,10.4221,5.91,1,
366,387,100014359,https://exofop.ipac.caltech.edu/tess/target.php?id=100014359,"2,3",1354.3819999997504,0.50457,0.05458333333333334,18360.0,1.84,0.91,0.71,13.5029,4.34,0,"Vshape, P-short, FSCP, sync"
368,389,100099031,https://exofop.ipac.caltech.edu/tess/target.php?id=100099031,"2,3",1355.0209999997169,1.29866,0.08416666666666667,8460.0,0.85,2.29,2.64,13.4735,5.18,0,"pOE, sync, pTD"
370,391,100608026,https://exofop.ipac.caltech.edu/tess/target.php?id=100608026,"5,6",1442.4920000000857,8.259618,0.10666666666666667,1514.0,0.15,0.26,0.67,10.8835,7.05,1,
375,396,101011575,https://exofop.ipac.caltech.edu/tess/target.php?id=101011575,8,1517.691000000108,6.397438,0.08833333333333333,1792.0,0.18,0.25,0.67,8.5925,6.87,1,
377,398,101230735,https://exofop.ipac.caltech.edu/tess/target.php?id=101230735,13,1653.966000000015,2.068731,0.03833333333333334,546.0,0.05,0.28,1.3,9.6652,8.16,1,
378,399,101395259,https://exofop.ipac.caltech.edu/tess/target.php?id=101395259,8,1523.9429999999702,15.151485999999998,0.12416666666666666,6230.0,0.62,1.18,1.49,10.1913,5.51,1,
379,400,101497191,https://exofop.ipac.caltech.edu/tess/target.php?id=101497191,9,1547.3509999997914,3.64376,0.14083333333333334,3633.0,0.36,0.0,0.0,10.244000000000002,6.10,0,CO
380,401,101721385,https://exofop.ipac.caltech.edu/tess/target.php?id=101721385,25,1984.652999999933,4.627866,0.09499999999999999,5808.0,0.58,1.22,1.55,9.54417,5.59,1,
383,404,101955023,https://exofop.ipac.caltech.edu/tess/target.php?id=101955023,9,1544.716000000015,1.628694,0.03333333333333333,2850.0,0.29,0.13,0.26,10.8372,6.36,1,HAT-P-7 b
384,405,102030574,https://exofop.ipac.caltech.edu/tess/target.php?id=102030574,2,1364.1009999997914,9.94962,0.17625000000000002,20190.0,2.02,2.13,1.65,12.3294,4.24,1,
385,406,102192004,https://exofop.ipac.caltech.edu/tess/target.php?id=102192004,"10,11",1575.1580000002868,4.23349,0.06708333333333334,7020.0,0.7,1.18,1.46,11.3287,5.38,1,WASP 174 b
386,407,102195674,https://exofop.ipac.caltech.edu/tess/target.php?id=102195674,9,1547.4610000001267,4.378773000000001,0.15916666666666665,30426.0,3.04,1.84,1.16,11.3425,3.79,0,SS
387,409,102672709,https://exofop.ipac.caltech.edu/tess/target.php?id=102672709,19,1818.6060000001453,6.702137,0.1625,618.0,0.06,0.33,1.46,9.866710000000001,8.02,1,
388,410,102840239,https://exofop.ipac.caltech.edu/tess/target.php?id=102840239,9,1548.5809999997728,11.18395,0.13541666666666666,1250.0,0.13,0.24,0.76,9.36,7.26,1,
389,411,103448870,https://exofop.ipac.caltech.edu/tess/target.php?id=103448870,19,1816.8459999999031,10.257449000000001,0.07291666666666667,1402.0,0.14,0.39,0.98,9.83739,7.13,1,
390,412,103633434,https://exofop.ipac.caltech.edu/tess/target.php?id=103633434,"14,20,21",1683.6159999999218,3.444703,0.08083333333333333,741.0,0.07,0.15,0.63,9.91924,7.83,1,TOI-1235 b
391,413,104024556,https://exofop.ipac.caltech.edu/tess/target.php?id=104024556,10,1569.9399999999441,2.021986,0.12416666666666666,10011.0,1.0,1.74,1.79,10.3182,5.00,1,WASP-167 b
392,414,104208182,https://exofop.ipac.caltech.edu/tess/target.php?id=104208182,"18,19",1792.6609999998473,3.697386,0.059166666666666666,2875.0,0.29,0.32,0.67,12.4851,6.35,1,
393,415,105840719,https://exofop.ipac.caltech.edu/tess/target.php?id=105840719,25,1990.813000000082,10.316187,0.16,2223.0,0.22,0.38,0.84,9.5373,6.63,1,"FSCP,  FFI LCMOD"
394,416,106402532,https://exofop.ipac.caltech.edu/tess/target.php?id=106402532,9,1545.7730000000447,4.886506,0.10458333333333332,466.0,0.05,0.19,0.96,8.8411,8.33,1,FSCP
395,417,106997505,https://exofop.ipac.caltech.edu/tess/target.php?id=106997505,7,1493.3959999997169,2.74323,0.13208333333333333,383.0,0.04,0.0,0.0,9.3003,8.54,1," Low SNR, LCMOD"
396,418,107782586,https://exofop.ipac.caltech.edu/tess/target.php?id=107782586,7,1492.253000000026,1.96022,0.06708333333333334,1420.0,0.14,0.0,0.0,8.4331,7.12,1,"vShape, LCMOD"
397,419,108645766,https://exofop.ipac.caltech.edu/tess/target.php?id=108645766,7,1492.9139999998733,2.974175,0.12625,11707.0,1.17,0.34,0.3,13.2312,4.83,0,CO
398,420,108835813,https://exofop.ipac.caltech.edu/tess/target.php?id=108835813,7,1494.066000000108,4.76516,0.12041666666666667,648.0,0.06,0.0,0.0,10.0813,7.97,0,"FSCP, Low SNR, NT"
399,421,110428269,https://exofop.ipac.caltech.edu/tess/target.php?id=110428269,14,1684.2050000000745,0.64971,0.08666666666666667,620.0,0.06,0.56,2.59,8.90601,8.02,0,"P-short, Vshape, Low SNR, sync"
400,422,111991770,https://exofop.ipac.caltech.edu/tess/target.php?id=111991770,11,1599.4449999998324,3.7520620000000005,0.15333333333333335,9500.0,0.95,1.33,1.48,10.4445,5.06,1,
401,423,112026224,https://exofop.ipac.caltech.edu/tess/target.php?id=112026224,14,1687.2110000001267,3.96765,0.03916666666666666,1860.0,0.19,0.96,2.17,9.8744,6.83,0,"FFI bad, pSS, FSCP, extra features, check S40 and 41, pCO"
403,425,112395568,https://exofop.ipac.caltech.edu/tess/target.php?id=112395568,13,1657.998999999836,5.742625,0.11916666666666666,1106.0,0.11,1.17,3.87,8.8849,7.39,1,
404,426,112604564,https://exofop.ipac.caltech.edu/tess/target.php?id=112604564,7,1496.3070000000298,4.577780000000001,0.14875,10660.0,1.07,1.66,1.78,12.3213,4.93,1,WASP-184 b
405,427,113553629,https://exofop.ipac.caltech.edu/tess/target.php?id=113553629,7,1491.9150000000373,4.30438,0.12666666666666668,672.0,0.07,1.23,4.82,10.1989,7.93,0,"weak LCMOD, NT"
406,428,114018671,https://exofop.ipac.caltech.edu/tess/target.php?id=114018671,7,1492.444000000134,2.46992,0.08958333333333333,200.0,0.02,0.12,0.94,8.2388,9.25,1,
407,429,114299824,https://exofop.ipac.caltech.edu/tess/target.php?id=114299824,7,1493.595000000205,4.20662,0.09541666666666666,12200.0,1.22,1.07,1.07,12.9264,4.78,1,HATS-55 b
408,430,114749636,https://exofop.ipac.caltech.edu/tess/target.php?id=114749636,2,1357.6699999999255,4.59971,0.17541666666666667,7620.0,0.76,1.1,1.34,11.7607,5.30,1,WASP-147 b
409,432,115524421,https://exofop.ipac.caltech.edu/tess/target.php?id=115524421,24,1961.123999999836,8.80512,0.12625,8660.0,0.87,0.84,0.97,11.5906,5.16,1,
410,433,115771549,https://exofop.ipac.caltech.edu/tess/target.php?id=115771549,16,1740.0469999997877,4.718228,0.19166666666666665,2797.0,0.28,0.54,2.74,8.3764,6.38,0,"pSS, pOcc CP"
411,434,116156517,https://exofop.ipac.caltech.edu/tess/target.php?id=116156517,2,1357.373999999836,5.367319999999999,0.19041666666666668,6910.0,0.69,1.34,1.72,11.3151,5.40,1,WASP-190 b
412,435,116242971,https://exofop.ipac.caltech.edu/tess/target.php?id=116242971,25,1985.6180000002496,5.031835,0.23583333333333334,5410.0,0.54,1.48,2.16,10.1213,5.67,1,KELT-12 b
413,436,116264089,https://exofop.ipac.caltech.edu/tess/target.php?id=116264089,25,1984.839999999851,1.306157,0.05833333333333333,25028.0,2.5,1.39,0.82,11.7213,4.00,1,TrES-3 b
414,437,116483514,https://exofop.ipac.caltech.edu/tess/target.php?id=116483514,23,1928.2409999999218,1.452049,0.06208333333333333,395.0,0.04,0.12,0.69,9.1043,8.51,1,
415,438,116483734,https://exofop.ipac.caltech.edu/tess/target.php?id=116483734,16,1739.2900000000373,4.731975,0.034583333333333334,4236.0,0.42,0.61,0.66,11.0997,5.93,1,Vshape
416,439,116608612,https://exofop.ipac.caltech.edu/tess/target.php?id=116608612,"18,19",1817.819000000134,3.45572,0.09083333333333334,6250.0,0.63,1.41,1.78,9.17041,5.51,1,LCMOD
417,440,117256577,https://exofop.ipac.caltech.edu/tess/target.php?id=117256577,14,1684.8769999998622,1.6874900000000002,0.10541666666666666,1840.0,0.18,0.0,0.0,9.7032,6.84,1,
419,442,117789567,https://exofop.ipac.caltech.edu/tess/target.php?id=117789567,14,1684.4890000000596,2.32063,0.05541666666666667,1780.0,0.18,0.0,0.0,7.9172,6.87,1,"LCMOD,TL"
424,448,118084044,https://exofop.ipac.caltech.edu/tess/target.php?id=118084044,10,1520.8700000001118,2.74372,0.049166666666666664,1280.0,0.13,1.35,3.96,8.9578,7.23,0,"pSS, sync"
426,450,118327533,https://exofop.ipac.caltech.edu/tess/target.php?id=118327533,2,1354.7919999998994,8.28154,0.09666666666666666,14010.0,1.4,2.68,1.35,12.7291,4.63,1,WE
428,452,118586896,https://exofop.ipac.caltech.edu/tess/target.php?id=118586896,2,1365.973000000231,12.10588,0.14125000000000001,33500.0,3.35,3.3,1.29,13.2642,3.69,1,Vshape
429,453,118956453,https://exofop.ipac.caltech.edu/tess/target.php?id=118956453,8,1519.8880000002682,2.34499,0.07958333333333333,14670.0,1.47,1.14,1.04,11.9397,4.58,1,WASP-170 b
430,454,119081096,https://exofop.ipac.caltech.edu/tess/target.php?id=119081096,8,1518.1099999998696,0.8370700000000001,0.10416666666666667,2746.0,0.27,0.27,0.52,12.4268,6.40,0,CO
431,455,119292328,https://exofop.ipac.caltech.edu/tess/target.php?id=119292328,7,1492.783999999985,7.187117999999999,0.11916666666666666,300.0,0.03,0.15,0.9,8.9767,8.81,1,
432,456,119584412,https://exofop.ipac.caltech.edu/tess/target.php?id=119584412,22,1903.5440000002272,21.284406,0.11541666666666667,1547.0,0.15,0.19,0.55,9.85623,7.03,1,
433,457,119700084,https://exofop.ipac.caltech.edu/tess/target.php?id=119700084,16,1741.089999999851,6.116688,0.022083333333333333,1632.0,0.16,0.33,0.89,10.1188,6.97,1,FSCP
434,458,120247528,https://exofop.ipac.caltech.edu/tess/target.php?id=120247528,13,1655.3959999997169,3.553814,0.08583333333333333,9979.0,1.0,1.12,1.08,11.5803,5.00,1,FSCP
435,459,120585579,https://exofop.ipac.caltech.edu/tess/target.php?id=120585579,2,1357.777999999933,6.340315,0.17708333333333334,25411.0,2.54,1.83,1.27,12.5766,3.99,0,"pSS, pOcc?"
436,460,120602501,https://exofop.ipac.caltech.edu/tess/target.php?id=120602501,16,1745.788000000175,7.430619999999999,0.13708333333333333,8069.0,0.81,2.41,1.73,8.48216,5.23,1,"Vshape,WE"
437,461,120610833,https://exofop.ipac.caltech.edu/tess/target.php?id=120610833,2,1354.7730000000447,3.126068,0.07041666666666667,11367.0,1.14,1.01,0.92,11.5005,4.86,1,WASP-45 b
438,462,120757718,https://exofop.ipac.caltech.edu/tess/target.php?id=120757718,14,1686.3840000000782,3.030032,0.105,22261.0,2.23,1.14,0.86,11.0248,4.13,1,TrES-1 b
442,466,120960812,https://exofop.ipac.caltech.edu/tess/target.php?id=120960812,14,1687.7169999997132,12.726357,0.10041666666666667,1224.0,0.12,0.47,1.48,10.2768,7.28,1,Kepler-25 c
443,467,121338379,https://exofop.ipac.caltech.edu/tess/target.php?id=121338379,7,1491.8919999999925,0.275043,0.03166666666666667,995.0,0.1,0.61,1.33,9.58094,7.51,0,"pSS,LCMOD,LOWSNR,FSCP"
444,468,121966220,https://exofop.ipac.caltech.edu/tess/target.php?id=121966220,19,1820.0919999997132,6.716659,0.3116666666666667,9802.0,0.98,2.1,2.35,10.8001,5.02,1,
449,473,123482865,https://exofop.ipac.caltech.edu/tess/target.php?id=123482865,8,1523.091000000015,13.113682999999998,0.11291666666666667,2858.0,0.29,0.71,1.33,9.4727,6.36,1,
450,474,123702439,https://exofop.ipac.caltech.edu/tess/target.php?id=123702439,7,1500.1069999998435,8.521168,0.11541666666666667,1515.0,0.15,0.36,1.03,10.1374,7.05,1,WE
451,475,123846039,https://exofop.ipac.caltech.edu/tess/target.php?id=123846039,6,1476.5319999996573,10.04925,0.15041666666666667,4380.0,0.44,0.62,1.01,9.3722,5.90,1,
452,476,123898871,https://exofop.ipac.caltech.edu/tess/target.php?id=123898871,6,1470.3489999999292,4.9074599999999995,0.1729166666666667,11112.0,1.11,1.71,1.65,9.84786,4.89,1,
453,477,123958679,https://exofop.ipac.caltech.edu/tess/target.php?id=123958679,6,1469.073000000324,5.59071,0.15916666666666665,4210.0,0.42,1.49,2.59,11.4847,5.94,0,NT
454,478,124573851,https://exofop.ipac.caltech.edu/tess/target.php?id=124573851,9,1546.1370000001043,3.9486779999999997,0.1425,754.0,0.08,0.34,1.15,10.1755,7.81,1,
455,480,125405602,https://exofop.ipac.caltech.edu/tess/target.php?id=125405602,11,1606.785000000149,13.823303,0.05708333333333334,2557.0,0.26,0.25,0.48,11.1825,6.48,1,UC
456,481,125442121,https://exofop.ipac.caltech.edu/tess/target.php?id=125442121,16,1739.3319999999367,3.01963,0.15,13178.0,1.32,1.67,1.59,11.029000000000002,4.70,1,LCMOD
457,483,125739286,https://exofop.ipac.caltech.edu/tess/target.php?id=125739286,11,1602.7030000002123,4.51162,0.18999999999999997,10755.0,1.08,1.64,1.61,10.5288,4.92,1,NGTS-2 b
458,484,125894957,https://exofop.ipac.caltech.edu/tess/target.php?id=125894957,7,1493.1499999999069,2.67425,0.1575,1920.0,0.19,15.94,36.51,10.5484,6.79,0,"pCO,LOWSNR,UC, sync"
459,485,126733133,https://exofop.ipac.caltech.edu/tess/target.php?id=126733133,8,1517.4509999998845,1.468833,0.0325,1259.0,0.13,0.41,1.27,10.027000000000001,7.25,1,"Vshape,FSCP"
460,486,127315102,https://exofop.ipac.caltech.edu/tess/target.php?id=127315102,11,1601.3280000002123,10.84549,0.15083333333333335,3170.0,0.32,2.72,2.56,8.4672,6.25,0,pSS
463,489,127530399,https://exofop.ipac.caltech.edu/tess/target.php?id=127530399,11,1602.8560000001453,7.133521000000001,0.13083333333333333,19488.0,1.95,0.91,0.74,11.1116,4.28,1,WASP-132 b
464,490,127793615,https://exofop.ipac.caltech.edu/tess/target.php?id=127793615,11,1604.9120000000112,9.27898,0.27125,9020.0,0.9,1.35,1.45,10.9805,5.11,1,
465,491,128449971,https://exofop.ipac.caltech.edu/tess/target.php?id=128449971,11,1609.128000000026,12.68807,0.006666666666666667,3660.0,0.37,1.38,1.11,10.7347,6.09,1,SSys data
467,494,128790976,https://exofop.ipac.caltech.edu/tess/target.php?id=128790976,13,1657.430999999866,3.51874,0.11416666666666668,5770.0,0.58,1.89,1.49,7.2235,5.60,1,LCMOD
468,495,129319156,https://exofop.ipac.caltech.edu/tess/target.php?id=129319156,12,1643.1030000001192,4.73703,0.1625,2410.0,0.24,2.29,2.48,10.3918,6.54,0,CO
470,497,129637892,https://exofop.ipac.caltech.edu/tess/target.php?id=129637892,1,1326.7439999999478,5.43636,0.24875,8232.0,0.82,1.64,1.84,9.0284,5.21,1,
471,498,129979528,https://exofop.ipac.caltech.edu/tess/target.php?id=129979528,18,1791.4139999998733,1.219868,0.11916666666666666,13475.0,1.35,1.71,1.6,7.876110000000001,4.68,0,"WASP-33 b,Occ"
473,500,130181866,https://exofop.ipac.caltech.edu/tess/target.php?id=130181866,20,1845.3730000001378,7.108153,0.13458333333333333,558.0,0.06,0.19,0.9,6.2683,8.13,1,
474,501,130181866,https://exofop.ipac.caltech.edu/tess/target.php?id=130181866,20,1844.0580000001937,20.545913,0.1679166666666667,839.0,0.08,0.19,0.9,6.2683,7.69,1,LCMOD
475,502,130415266,https://exofop.ipac.caltech.edu/tess/target.php?id=130415266,"6,8",1481.0,40.0,0.25625000000000003,7000.0,0.7,0.0,0.0,7.3123,5.39,1,single event
476,503,130924120,https://exofop.ipac.caltech.edu/tess/target.php?id=130924120,10,1571.8689999999478,17.465513,0.16416666666666666,1064.0,0.11,0.3,1.03,9.0498,7.43,1,
477,504,131081852,https://exofop.ipac.caltech.edu/tess/target.php?id=131081852,10,1575.74599999981,13.273822000000001,0.28125,21531.0,2.15,1.73,1.26,9.957500999999999,4.17,1,pTD
478,505,131419878,https://exofop.ipac.caltech.edu/tess/target.php?id=131419878,8,1494.0890000001527,3.16043,0.08,203.0,0.02,0.21,1.52,8.8154,9.23,0,NT
479,506,131743355,https://exofop.ipac.caltech.edu/tess/target.php?id=131743355,"7,8",1493.9769999999553,6.5602800000000006,0.04583333333333334,3200.0,0.32,0.97,1.72,9.3761,6.24,1,LCMOD
480,508,133334108,https://exofop.ipac.caltech.edu/tess/target.php?id=133334108,8,1519.6569999996573,2.854317,0.2504166666666667,353.0,0.04,0.16,0.91,8.9454,8.63,0,"Vshape, LCMOD, pCO"
481,509,133654092,https://exofop.ipac.caltech.edu/tess/target.php?id=133654092,7,1493.1269999998622,1.97353,0.09041666666666666,867.0,0.09,0.0,0.0,10.4527,7.65,1,UC
482,510,134200185,https://exofop.ipac.caltech.edu/tess/target.php?id=134200185,7,1491.961999999825,0.5482130000000001,0.045000000000000005,231.0,0.02,0.14,0.78,9.4022,9.09,1,"LOWSNR, FSCP, P-short"
483,512,134404603,https://exofop.ipac.caltech.edu/tess/target.php?id=134404603,"7,8",1496.7180000003427,4.9701900000000006,0.06791666666666667,14440.0,1.44,2.8,1.19,9.836,4.60,1,"LCMOD, FSCP"
484,513,134537478,https://exofop.ipac.caltech.edu/tess/target.php?id=134537478,7,1493.2719999998808,1.7100259999999998,0.09166666666666667,11615.0,1.16,1.65,1.52,10.3887,4.84,1,
485,514,135083444,https://exofop.ipac.caltech.edu/tess/target.php?id=135083444,22,1899.6099999998696,2.791791,0.06125,1019.0,0.1,0.54,1.16,10.0721,7.48,1,"Vshape, UC"
486,515,136274063,https://exofop.ipac.caltech.edu/tess/target.php?id=136274063,12,1640.6140000000596,0.59706,0.028333333333333335,1030.0,0.1,0.81,2.28,9.9806,7.47,0,"Vshape, UC, FSCP, LCMOD, P-short"
487,516,136848581,https://exofop.ipac.caltech.edu/tess/target.php?id=136848581,"15,16",1713.1409999998286,2.63999,0.1175,830.0,0.08,0.7,2.72,9.904819999999999,7.70,0,"CO, Vshape"
488,517,136971594,https://exofop.ipac.caltech.edu/tess/target.php?id=136971594,"15,16",1711.8140000002459,1.2556200000000002,0.09583333333333333,290.0,0.03,0.26,1.72,9.1384,8.84,0,"CO,Vshape, pSS"
489,518,137284119,https://exofop.ipac.caltech.edu/tess/target.php?id=137284119,"15,16",1711.9769999999553,2.57282,0.14375000000000002,1060.0,0.11,2.33,3.16,9.14819,7.44,0,CO
490,519,137500798,https://exofop.ipac.caltech.edu/tess/target.php?id=137500798,20,1822.8680000002496,13.206920000000002,0.20666666666666667,790.0,0.08,0.43,1.67,10.3042,7.76,1,
491,520,137881699,https://exofop.ipac.caltech.edu/tess/target.php?id=137881699,21,1872.6439999998547,2.9721330000000004,0.1975,8472.0,0.85,1.62,1.95,12.5119,5.18,1,HAT-P-66 b
492,521,137906197,https://exofop.ipac.caltech.edu/tess/target.php?id=137906197,21,1878.5780000002123,7.33855,0.17,860.0,0.09,0.27,1.1,9.91008,7.66,1,
493,522,138017750,https://exofop.ipac.caltech.edu/tess/target.php?id=138017750,18,1792.4599999999627,2.472722,0.10125,2946.0,0.29,1.22,2.13,7.42812,6.33,0,"LCMOD, pSS"
494,523,138168780,https://exofop.ipac.caltech.edu/tess/target.php?id=138168780,"19,20",1817.5849999999627,3.7650099999999997,0.11833333333333333,14570.0,1.46,1.57,1.42,9.88278,4.59,1,"Vshape,XO-6 b	"
495,524,138294130,https://exofop.ipac.caltech.edu/tess/target.php?id=138294130,24,1955.9169999998994,3.056526,0.17666666666666667,8416.0,0.84,1.32,1.6,10.6506,5.19,1,"Vshape,HAT-P-4 b	"
496,526,138588540,https://exofop.ipac.caltech.edu/tess/target.php?id=138588540,"14,15",1703.402999999933,29.889398999999997,0.15416666666666667,761.0,0.08,0.18,0.74,8.0621,7.80,1,LCMOD
497,527,138727432,https://exofop.ipac.caltech.edu/tess/target.php?id=138727432,3,1384.7250000000931,6.86512,0.15291666666666667,5090.0,0.51,0.89,1.38,10.7598,5.73,1,
498,528,138762614,https://exofop.ipac.caltech.edu/tess/target.php?id=138762614,22,1904.154999999795,16.796111,0.14583333333333334,1816.0,0.18,0.22,0.58,11.1341,6.85,1,
499,529,138819293,https://exofop.ipac.caltech.edu/tess/target.php?id=138819293,22,1899.6719999997877,2.643973,0.03958333333333333,6481.0,0.65,0.34,0.43,8.40346,5.47,1,GJ 436 b
500,530,138968089,https://exofop.ipac.caltech.edu/tess/target.php?id=138968089,15,1711.5580000001937,0.641256,0.04666666666666667,1030.0,0.1,0.43,1.47,11.6459,7.47,1,"P-short, FSCP, UC, LOWSNR, SPR"
502,532,139285832,https://exofop.ipac.caltech.edu/tess/target.php?id=139285832,"1,2",1325.8100000000559,0.7770699999999999,0.05875,1400.0,0.14,0.34,0.96,11.5273,7.13,0,"FSCP, UC, Vshape, P-short, pSS"
503,533,139357541,https://exofop.ipac.caltech.edu/tess/target.php?id=139357541,2,1355.8070000000298,4.478940000000001,0.05458333333333334,6430.0,0.64,1.32,1.2,12.7703,5.48,0,"FSCP,UC, sync"
507,537,139771134,https://exofop.ipac.caltech.edu/tess/target.php?id=139771134,1,1326.0709999999963,0.913781,0.050416666666666665,6240.0,0.62,0.0,0.77,12.5093,5.51,1,
508,538,139853601,https://exofop.ipac.caltech.edu/tess/target.php?id=139853601,7,1492.2579999999143,0.68088,0.06083333333333333,1580.0,0.16,0.0,0.0,8.45086,7.00,0,"sync, Vshape, P-short, pCO"
509,539,140068425,https://exofop.ipac.caltech.edu/tess/target.php?id=140068425,1,1327.3990000002086,2.28139,0.035833333333333335,1077.0,0.11,0.45,1.31,9.7828,7.42,0,"sync, Vshape, P-short"
511,541,140706664,https://exofop.ipac.caltech.edu/tess/target.php?id=140706664,8,1521.2909999997355,3.2889199999999996,0.15791666666666668,10519.0,1.05,0.0,0.0,10.7173,4.95,0,NS
513,543,140830390,https://exofop.ipac.caltech.edu/tess/target.php?id=140830390,13,1659.683999999892,12.836719,0.40458333333333335,10273.0,1.03,1.03,1.13,11.7106,4.97,0,SS
514,544,141227133,https://exofop.ipac.caltech.edu/tess/target.php?id=141227133,8,1518.7000000001863,2.42232,0.11958333333333333,5697.0,0.57,0.0,0.0,10.251,5.61,0,"CO,LCMOD,Vshape"
515,545,141363913,https://exofop.ipac.caltech.edu/tess/target.php?id=141363913,"8,9",1521.3909999998286,3.47623,0.07833333333333332,1440.0,0.14,1.09,3.1,9.9223,7.10,1,
516,546,141482386,https://exofop.ipac.caltech.edu/tess/target.php?id=141482386,"1,2,4,5,6,7,8,9,10,11,12",1339.723000000231,18.01633,0.10333333333333333,610.0,0.06,1.91,7.61,10.0814,8.04,0,CO
517,547,141527579,https://exofop.ipac.caltech.edu/tess/target.php?id=141527579,"1,2,3,4,5",1328.944000000134,15.086964000000002,0.09083333333333334,2005.0,0.2,0.17,0.43,12.1293,6.74,1,
518,548,141527965,https://exofop.ipac.caltech.edu/tess/target.php?id=141527965,"1,2,3,4,5,7,8,9,10,11,12,13",1325.4199999999255,4.554481,0.32916666666666666,253.0,0.03,0.11,0.7,11.546,8.99,1,
521,551,141663464,https://exofop.ipac.caltech.edu/tess/target.php?id=141663464,11,1601.344000000041,1.76447,0.11458333333333333,2640.0,0.26,2.49,5.08,7.185,6.45,0,"FSCP, sync, SS, same light curve of TIC 141663460"
522,552,141768070,https://exofop.ipac.caltech.edu/tess/target.php?id=141768070,11,1597.4819999998435,2.7862139999999997,0.08458333333333333,12624.0,1.26,1.14,0.98,12.6264,4.75,1,
523,553,141776043,https://exofop.ipac.caltech.edu/tess/target.php?id=141776043,7,1493.3580000000075,4.06269,0.17916666666666667,4210.0,0.42,0.0,0.0,10.618,5.94,0,"CO,pSS"
524,554,142090065,https://exofop.ipac.caltech.edu/tess/target.php?id=142090065,20,1816.936999999918,2.827591,0.04833333333333333,1067.0,0.11,0.5,1.51,9.01249,7.43,1,"LCMOD, pVshape"
525,555,142276270,https://exofop.ipac.caltech.edu/tess/target.php?id=142276270,14,1688.7169999997132,6.256742,0.14458333333333334,915.0,0.09,0.41,0.98,8.9361,7.60,1,multi
526,556,142276270,https://exofop.ipac.caltech.edu/tess/target.php?id=142276270,"14,15",1686.0669999998063,12.518414,0.17166666666666666,2127.0,0.21,0.41,0.98,8.9361,6.68,1,multi
527,557,142276270,https://exofop.ipac.caltech.edu/tess/target.php?id=142276270,"14,15,21,22",1697.7560000000522,18.804756,0.19125,629.0,0.06,0.41,0.98,8.9361,8.00,1,multi
528,558,142276270,https://exofop.ipac.caltech.edu/tess/target.php?id=142276270,"14,15",1699.3849999997765,26.321863,0.21708333333333332,1596.0,0.16,0.41,0.98,8.9361,6.99,1,multi
529,561,142387023,https://exofop.ipac.caltech.edu/tess/target.php?id=142387023,22,1719.8900000001304,22.80811,0.16666666666666666,800.0,0.08,0.21,0.82,8.9754,7.74,1,checked extra > not real
530,562,142394656,https://exofop.ipac.caltech.edu/tess/target.php?id=142394656,15,1711.746999999974,8.157668,0.165,9649.0,0.96,0.8,0.9,10.1495,5.04,1,LCMOD
531,563,142748283,https://exofop.ipac.caltech.edu/tess/target.php?id=142748283,"14,20,21",1684.8330000001006,3.119035,0.05291666666666667,3201.0,0.32,0.13,0.25,13.4764,6.24,1,"LOWSNR,SPR"
532,564,142748283,https://exofop.ipac.caltech.edu/tess/target.php?id=142748283,"14,20,21",1687.5400000000373,6.387611,0.052083333333333336,6606.0,0.66,0.13,0.25,13.4764,5.45,1,"LCMOD, LOWSNR, UC"
