,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
200,205,49710555,https://exofop.ipac.caltech.edu/tess/target.php?id=49710555,2,1359.621999999974,12.07397,0.15125,5600.0,0.56,1.83,1.34,12.3035,5.63,0,CO
201,206,49771092,https://exofop.ipac.caltech.edu/tess/target.php?id=49771092,6,1469.0600000000559,1.63127,0.04958333333333333,16058.0,1.61,1.01,0.88,14.8067,4.49,1,"FSCP, LOWSNR,UC"
205,210,50312495,https://exofop.ipac.caltech.edu/tess/target.php?id=50312495,"2,13",1363.5060000000522,14.706994,0.10541666666666666,494.0,0.05,0.24,1.16,9.8135,8.27,1,
206,211,50365310,https://exofop.ipac.caltech.edu/tess/target.php?id=50365310,7,1493.3840000000782,2.1715299999999997,0.08083333333333333,720.0,0.07,0.5,2.17,9.604,7.86,0,"lowSNR,pCO,pVshape"
207,212,50618703,https://exofop.ipac.caltech.edu/tess/target.php?id=50618703,6,1469.7590000000782,1.548214,0.050833333333333335,866.0,0.09,0.21,0.66,9.6504,7.66,1,
208,213,50712784,https://exofop.ipac.caltech.edu/tess/target.php?id=50712784,7,1492.280999999959,5.4054199999999994,0.19625,3590.0,0.36,0.88,1.59,10.5579,6.11,1,WASP-161 b
209,214,51024887,https://exofop.ipac.caltech.edu/tess/target.php?id=51024887,18,1797.345000000205,8.249187,0.20750000000000002,117724.0,11.77,0.72,0.17,14.9885,2.32,0,"pVshape, pOED (look at single transits page)"
210,215,51234631,https://exofop.ipac.caltech.edu/tess/target.php?id=51234631,20,1846.1299999998882,4.124878,0.18458333333333332,8499.0,0.85,1.36,1.62,10.1653,5.18,1,XO-4 b
212,217,52204645,https://exofop.ipac.caltech.edu/tess/target.php?id=52204645,"1,2",1325.8840000000782,4.379757,0.06874999999999999,1048.0,0.1,0.24,0.82,10.8545,7.45,1,
213,218,52280468,https://exofop.ipac.caltech.edu/tess/target.php?id=52280468,6,1468.7250000000931,0.56826,0.04541666666666667,82636.0,8.26,3.71,1.0,12.3123,2.71,0,"TD,pOED"
217,222,52548453,https://exofop.ipac.caltech.edu/tess/target.php?id=52548453,7,1495.9419999998063,5.21517,0.23583333333333334,4594.0,0.46,1.51,2.27,10.1887,5.84,1,
218,223,52640302,https://exofop.ipac.caltech.edu/tess/target.php?id=52640302,6,1469.589999999851,1.573285,0.10166666666666667,17145.0,1.71,1.27,1.06,12.0506,4.41,1,WASP 64b
219,224,53189332,https://exofop.ipac.caltech.edu/tess/target.php?id=53189332,9,1544.6499999999069,9.290298,0.22291666666666665,6204.0,0.62,0.99,1.39,10.99,5.52,1,WASP 106b
220,225,53427308,https://exofop.ipac.caltech.edu/tess/target.php?id=53427308,20,1844.7650000001304,5.80322,0.06541666666666666,1710.0,0.17,0.57,1.5,10.379000000000001,6.92,0,NS
221,226,53458803,https://exofop.ipac.caltech.edu/tess/target.php?id=53458803,"6,7",1471.969000000041,3.34862,0.13749999999999998,11170.0,1.12,1.18,1.23,11.8656,4.88,1,HATS-51 b
